dirty_data	product	alt_lang	question_text	question_code
AS Vita Club	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
AS Vita Club	NextGen France	fr	What is your favourite sports team?	HOBB011
AS Vita Club	NextGen Germany	de	What is your favourite sports team?	HOBB011
AS Vita Club	NextGen UK		What is your favourite sports team?	HOBB011
Ascoli Calcio 1898 F.C.	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
Ascoli Calcio 1898 F.C.	Kids Germany	de	What is your favourite sports team?	HOBB011
Ascoli Calcio 1898 F.C.	Kids Italy	it	What is your favourite sports team?	HOBB011
Ascoli Calcio 1898 F.C.	NextGen France	fr	What is your favourite sports team?	HOBB011
Ascoli Calcio 1898 F.C.	NextGen Germany	de	What is your favourite sports team?	HOBB011
ASDAXZDAS	Kids Philippines	fil	What is your favourite sports team?	HOBB011
asderwr	NextGen Spain	es	What is your favourite sports team?	HOBB011
ASDGF	NextGen Italy	it	What is your favourite sports team?	HOBB011
asdsadasdas	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
asfdsff	NextGen UK		What is your favourite sports team?	HOBB011
asfsd	Kids Australia		What is your favourite sports team?	HOBB011
Ashh	Kids India		What is your favourite sports team?	HOBB011
Asociación Deportiva Atenas	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
asres	Kids Republic of Ireland		What is your favourite sports team?	HOBB011
Associazione Sportiva Roma	Kids France	fr	What is your favourite sports team?	HOBB011
Associazione Sportiva Roma	NextGen Italy	it	What is your favourite sports team?	HOBB011
Astan villa	Kids UK		What is your favourite sports team?	HOBB011
aston cikla	NextGen UK		What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	Kids India		What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	Kids Indonesia	id	What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	Kids Republic of Ireland		What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	Kids Spain	es	What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	Kids UK		What is your favourite sports team?	HOBB011
Aston Martin Aramco Formula One Team	NextGen Spain	es	What is your favourite sports team?	HOBB011
At the top of my list is DKNG.	Kids US	es-MX	What is your favourite sports team?	HOBB011
Atalanta BC	Kids Italy	it	What is your favourite sports team?	HOBB011
Atalanta BC	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Atalanta BC	Kids US	es-MX	What is your favourite sports team?	HOBB011
Atalanta BC	NextGen Germany	de	What is your favourite sports team?	HOBB011
Atalanta BC	NextGen Italy	it	What is your favourite sports team?	HOBB011
Ateneo Women's Blue Eagles	Kids France	fr	What is your favourite sports team?	HOBB011
atenio blue eagle	Kids Philippines	fil	What is your favourite sports team?	HOBB011
atenio volleyball	Kids Philippines	fil	What is your favourite sports team?	HOBB011
AthleticM mADRID	Kids UK		What is your favourite sports team?	HOBB011
Atlanta falcoon	Kids US	es-MX	What is your favourite sports team?	HOBB011
Atlas F.C.	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
Atlético Bucaramanga// fútbol	NextGen Spain	es	What is your favourite sports team?	HOBB011
atlico bilbao	Kids Turkey	tr	What is your favourite sports team?	HOBB011
Atomika	NextGen Italy	it	What is your favourite sports team?	HOBB011
ATV Hückeswagen	NextGen Germany	de	What is your favourite sports team?	HOBB011
Auaau	NextGen UK		What is your favourite sports team?	HOBB011
Aucun (trop jeune)	Kids Canada	fr	What is your favourite sports team?	HOBB011
Aucune equipe sportive	NextGen France	fr	What is your favourite sports team?	HOBB011
Aucune j'aime aucun sport	NextGen France	fr	What is your favourite sports team?	HOBB011
